movie_id,actor_id
tt10152200,nm0753769
tt10152200,nm7436170
tt10188148,nm8136745
tt10860558,nm4357116
tt10860558,nm2443020
tt10996896,nm5625923
tt10996896,nm6695317
tt10996896,nm6106368
tt10996896,nm5414737
tt11100434,nm0400259
tt1116183,nm0817563
tt1116183,nm1172256
tt1116183,nm0668271
tt1283959,nm1815188
tt1283959,nm2235400
tt1413492,nm1165110
tt1413492,nm0788335
tt1413492,nm0671567
tt1413492,nm1041023
tt1465851,nm3458185
tt1465851,nm3236344
tt1512276,nm1644138
tt1512276,nm0144021
tt1639081,nm0001744
tt1639081,nm0000514
tt1639081,nm1933472
tt1640714,nm3880072
tt1656186,nm0000115
tt1656186,nm0015196
tt1656186,nm0524197
tt1656186,nm0396812
tt1730669,nm1400930
tt1737683,nm0557073
tt1737683,nm3185766
tt1754442,nm0233109
tt1754442,nm0891495
tt1754442,nm0404942
tt1754442,nm1294207
tt1848824,nm0819418
tt1848824,nm0048182
tt1848824,nm1465817
tt1886770,nm0544465
tt1886770,nm0836729
tt1886770,nm0871219
tt1886770,nm4096798
tt1931589,nm4043111
tt1931589,nm0764853
tt1961192,nm2171898
tt1961192,nm0845310
tt1961192,nm0345695
tt1961192,nm1052286
tt2058597,nm1249052
tt2058597,nm0765924
tt2066857,nm1900081
tt2066857,nm1204831
tt2066857,nm1799342
tt2072230,nm1595000
tt2072230,nm2067218
tt2072230,nm3460467
tt2072230,nm1959800
tt2077886,nm1546077
tt2077886,nm2852199
tt2077886,nm2301662
tt2093074,nm2359829
tt2093074,nm2810287
tt2156901,nm0476211
tt2156901,nm6768002
tt2156901,nm0434596
tt2159988,nm0732703
tt2159988,nm2228615
tt2224111,nm2210246
tt2224111,nm2168223
tt2224111,nm0810679
tt2224111,nm3495054
tt2257816,nm0001434
tt2257816,nm0272706
tt2257816,nm1319098
tt2321309,nm0431701
tt2321309,nm1048201
tt2321309,nm1775551
tt2321309,nm1343846
tt2334733,nm1985859
tt2334733,nm0406975
tt2334733,nm3009232
tt2334733,nm1334869
tt2334779,nm0451234
tt2334779,nm1538116
tt2334779,nm0794818
tt2334779,nm2975619
tt2439190,nm1179484
tt2487684,nm1078422
tt2487684,nm2465387
tt2487684,nm0407511
tt2487684,nm0033152
tt2553376,nm4571370
tt2553376,nm2150782
tt2651924,nm0828464
tt2672090,nm2883012
tt2737304,nm0000113
tt2737304,nm5218990
tt2737304,nm0000518
tt2737304,nm0005299
tt2796678,nm0836176
tt2796678,nm0002546
tt2796678,nm0278304
tt2796678,nm0005020
tt2800400,nm0790057
tt2800400,nm0661755
tt2966980,nm4155851
tt2978626,nm0474774
tt2978626,nm1961459
tt2978626,nm2243737
tt3043630,nm2468729
tt3043630,nm3419723
tt3043630,nm4584685
tt3043630,nm3120546
tt3112264,nm5810131
tt3112264,nm5342419
tt3129892,nm0832380
tt3129892,nm2213306
tt3129892,nm0322563
tt3129892,nm0085997
tt3530690,nm0773884
tt3530690,nm0935057
tt3530690,nm2206710
tt3530690,nm0616766
tt3883526,nm3096614
tt3883526,nm0892489
tt3974764,nm2440627
tt3974764,nm2339825
tt4136084,nm0000658
tt4136084,nm0000424
tt4136084,nm0374865
tt4136084,nm0272581
tt4262980,nm4056296
tt4262980,nm0847570
tt4262980,nm1595000
tt4262980,nm0652592
tt4301112,nm5016840
tt4301112,nm0728346
tt4301112,nm5927737
tt4301112,nm3304510
tt4522922,nm0188871
tt4522922,nm0292182
tt4522922,nm0860724
tt4659808,nm0610041
tt4718440,nm0950510
tt4875962,nm0900877
tt4875962,nm0564107
tt4902138,nm2921854
tt4902138,nm2224939
tt5109784,nm2225369
tt5109784,nm0000849
tt5109784,nm0000438
tt5109784,nm0000201
tt5195412,nm0186505
tt5195412,nm0004950
tt5195412,nm2773139
tt5259790,nm0944543
tt5259790,nm0305447
tt5259790,nm0626161
tt5259790,nm0578042
tt5281018,nm3642633
tt5804928,nm0753314
tt5997928,nm1300009
tt5997928,nm5769873
tt6079186,nm0001163
tt6079186,nm0845360
tt6556670,nm0002010
tt6556670,nm0490702
tt6556670,nm2987278
tt6556670,nm4150929
tt6754712,nm8589893
tt6958152,nm0154146
tt6958152,nm3388514
tt6958152,nm5494086
tt6958152,nm4495543
tt7485508,nm3660766
tt7549996,nm0000250
tt7549996,nm2976580
tt7549996,nm1587729
tt7549996,nm0001722
tt7632930,nm1572716
tt7632930,nm0810632
tt7632930,nm0407959
tt7632930,nm3573100
tt7783966,nm0036237
tt7798644,nm0108725
tt7817568,nm3372981
tt7996170,nm0104309
tt8564614,nm0778021
tt9185066,nm0000630
tt9185066,nm0000673
tt9185066,nm0765597
tt9185066,nm1638321
tt9812530,nm0767986
tt9812530,nm0158414
tt9812530,nm7094216
tt9812530,nm7578266
