id,primary_name,birth_year
nm3096614,Reila Aphrodite,1983
nm0892489,Alicia Arden,1969
nm0753769,Armando del Río,1970
nm7436170,Yanet Garcia,1990
nm4571370,Arisa Komiya,1994
nm2150782,Hiroya Matsumoto,1986
nm0557073,Eleonora Massa,1973
nm3185766,Diego Pagotto,1975
nm0108725,Don Bridges,1950
nm0832380,Ed Stoppard,1974
nm2213306,Daniel Feuerriegel,1981
nm0322563,Robert Glenister,1960
nm0085997,Vas Blackwood,1962
nm0767986,Kenya Sawada,1965
nm0158414,Wenzhuo Zhao,1972
nm7094216,Miya Muqi,1987
nm7578266,Lubing Li,1987
nm2883012,Mike Christopher,1953
nm0000250,Renée Zellweger,1969
nm2976580,Jessie Buckley,1989
nm1587729,Finn Wittrock,1984
nm0001722,Rufus Sewell,1967
nm5016840,Charlotte Kirk,1992
nm0728346,Michael Rispoli,1960
nm5927737,Michelle Veintimilla,1992
nm3304510,Gia Crovatin,1985
nm0000630,Liev Schreiber,1967
nm0000673,Marisa Tomei,1964
nm0765597,Peter Sarsgaard,1971
nm1638321,Maya Hawke,1998
nm2210246,Valda Bickute,1980
nm2168223,Leonardas Pobedonoscevas,1979
nm0810679,Kostas Smoriginas,1953
nm3495054,Dalia Storyk,1953
nm0753314,Mark Rylance,1960
nm0233109,Miroslav Donutil,1951
nm0891495,Miroslav Vladyka,1959
nm0404942,Vanda Hybnerová,1968
nm1294207,Tatiana Pauhofová,1983
nm0002010,Christian Clavier,1952
nm0490702,Chantal Lauby,1948
nm2987278,Ary Abittan,1974
nm4150929,Medi Sadoun,1973
nm0732703,James Robinson,1983
nm2228615,Timothy Fielding,1981
nm5810131,Matthew William Jones,1996
nm5342419,Graham Cawte,1961
nm0188871,Mackenzie Crook,1971
nm0292182,Laura Fraser,1975
nm0860724,Sophie Thompson,1962
nm0036237,Cameron Arnett,1960
nm0950510,Joon-Sang Yoo,1969
nm0474774,Akshay Kumar,1967
nm1961459,Tamannaah Bhatia,1989
nm2243737,Krishna Abhishek,1983
nm3642633,Denisas Kolomyckis,1992
nm0900877,Darlene Vogel,1962
nm0564107,Alex McArthur,1957
nm2225369,Jennifer Lawrence,1990
nm0000849,Javier Bardem,1969
nm0000438,Ed Harris,1950
nm0000201,Michelle Pfeiffer,1958
nm0476211,Tsuyoshi Kusanagi,1974
nm6768002,Wataru Ichinose,1985
nm0434596,Teruyuki Kagawa,1965
nm3660766,Carolina Yuste,1991
nm0944543,Mariana Ximenes,1981
nm0305447,Stênio Garcia,1933
nm0626161,Stepan Nercessian,1953
nm0578042,Danton Mello,1975
nm0186505,Bryan Cranston,1956
nm0004950,Jennifer Garner,1972
nm2773139,Ellery Sprayberry,2000
nm1249052,Riccardo Scamarcio,1979
nm0765924,Paolo Sassanelli,1958
nm0154146,Prasenjit Chatterjee,1962
nm3388514,Yash Dasgupta,1985
nm5494086,Nilanjan Datta,1978
nm4495543,Nusrat Jahan,1990
nm1985859,Mia Wasikowska,1989
nm0406975,Rhys Ifans,1967
nm3009232,Ezra Miller,1992
nm1334869,Logan Marshall-Green,1976
nm1179484,Ricardo Alanis,1952
nm0000115,Nicolas Cage,1964
nm0015196,Malin Akerman,1978
nm0524197,Josh Lucas,1971
nm0396812,Danny Huston,1962
nm1900081,Leila Tong,1980
nm1204831,Lawrence Chou,1979
nm1799342,Joman Chiang,1985
nm0817563,Hugo Speer,1969
nm1172256,Vivienne Harvey,1982
nm0668271,Bruce Payne,1958
nm4056296,Hiroki Hasegawa,1977
nm0847570,Yutaka Takenouchi,1971
nm1595000,Satomi Ishihara,1986
nm0652592,Ren Ôsugi,1951
nm4357116,Ece Yüksel,1997
nm2443020,Umut Kurt,1981
nm1815188,Giles Alderson,1977
nm2235400,Matthew Butler-Hart,1980
nm2359829,Linda Boston,1954
nm2810287,David Dastmalchian,1975
nm0778021,Gudrun Schyman,1948
nm0001163,Roy Dupuis,1963
nm0845360,Catherine Sénart,1970
nm0451234,Irrfan Khan,1967
nm1538116,Tisca Chopra,1973
nm0794818,Tillotama Shome,1988
nm2975619,Rasika Dugal,1985
nm1572716,Danila Kozlovskiy,1985
nm0810632,Andrey Smolyakov,1958
nm0407959,Vladimir Ilin,1947
nm3573100,Olya Zueva,1987
nm8589893,Sarah Chang,1985
nm0836176,Geoff Stults,1977
nm0002546,Mena Suvari,1979
nm0278304,Jennifer Finnigan,1979
nm0005020,Josh Hopkins,1970
nm3372981,Srabanti Chatterjee,1987
nm0400259,Booker Huffman,1965
nm0544465,Dagmar Manzel,1958
nm0836729,Ernst Stötzner,1952
nm0871219,Victoria Trauttmansdorff,1960
nm4096798,Marie Rosa Tietjen,1986
nm0790057,Alia Shawkat,1989
nm0661755,Annie Parisse,1975
nm2468729,Mi Yang,1986
nm3419723,Amber Kuo,1986
nm4584685,Kai Ko,1991
nm3120546,Rhydian Vaughan,1988
nm0000658,Meryl Streep,1949
nm0000424,Hugh Grant,1960
nm0374865,Simon Helberg,1980
nm0272581,Rebecca Ferguson,1983
nm8136745,Nanami Yamada,1999
nm0773884,John Schneider,1960
nm0935057,Peter Wingfield,1962
nm2206710,James Harvey Ward,1978
nm0616766,Kim Myers,1966
nm0610041,Catarina Mourão,1970
