nconst,primaryName,birthYear,deathYear
nm0083966,Steve Bishart,,
nm0296829,Serge Frydman,,
nm0478713,Jean-Claude La Marre,,
nm0782457,Tom Seidman,,
nm0886749,Shane Van Dyke,1979,
nm0945724,Takashi Yamazaki,1964,
nm1139317,Carey Van Dyke,1976,
nm1194399,Olga Dykhovichnaya,1980,
nm1384721,Özcan Deniz,1972,
nm1399485,Velraj,,
nm1407554,Manish Patel,1975,
nm1414036,Leon Welling,,
nm1492406,Guilherme Coelho,1979,
nm1644174,Bruce Elgin,,
nm1797606,Dudley Rees,1984,
nm2100757,Tamio Hayashi,,
nm2120300,Hanna Sawka,,
nm2305431,Oren Peli,,
nm2364202,Alexandra Sicotte-Levesque,,
nm2395339,Ryuichi Yagi,,
nm2433618,Ronit Kertsner,,
nm2525291,David Whittet,,
nm2878629,Stephen Southouse,,
nm2928029,Deuandra T. Brown,1987,
nm3021199,Hiroki Hosoi,,
nm3634923,Ahmed Rashwan,1969,
nm3741862,Naoki Hyakuta,,
nm4099985,Ido Fluk,,
nm4101851,James Baack,,
nm4111536,Lina Plioplyte,,
nm4122985,Ryan Geiger,,
nm4293700,Letícia Simões,,
nm4594053,Angelina Nikonova,1976,
nm4698039,Benjamin Garcia,,
nm4920270,Mohamed Samy,,
nm5099985,Jason Lucas,,
nm6022938,Ari Cohen,,
nm7032639,Reyhan Pekar,,
nm7655914,Milton Hatoum,,
nm8024844,Daisuke Yamashita,,
nm8292416,Moatz Fteha,,
nm9245314,Mari Kawakita,,
nm9245315,Kidai Horie,,
nm9245316,Yu Wangsan,,
nm9245317,Yasunari Konno,,
nm9245331,Koutarou Kimura,,
nm9245332,Shoichi Kubodera,,
